MUNICIPALITY,FARM TYPE,YEAR,MONTH,CROP,Area planted(ha),Area harvested(ha),Production(mt),Productivity(mt/ha)
ATOK,IRRIGATED,2015,AUG,GARDEN PEAS,5,5,55,11
ATOK,IRRIGATED,2015,SEP,GARDEN PEAS,5,5,55,11
ATOK,IRRIGATED,2015,OCT,GARDEN PEAS,6.4,5,55,11
ATOK,IRRIGATED,2015,NOV,GARDEN PEAS,8,5,55,11
ATOK,IRRIGATED,2015,DEC,GARDEN PEAS,12.5,5,55,11
ATOK,IRRIGATED,2015,JAN,SWEET PEPPER,2,5,55,11
ATOK,IRRIGATED,2015,FEB,SWEET PEPPER,3.5,5,55,11
ATOK,IRRIGATED,2015,MAR,SWEET PEPPER,4.3,5,55,11
ATOK,IRRIGATED,2015,APR,SWEET PEPPER,4.1,2,18,9
ATOK,IRRIGATED,2015,MAY,SWEET PEPPER,5,3.5,28,8
ATOK,IRRIGATED,2015,JUN,SWEET PEPPER,5,4.3,34.4,8
ATOK,IRRIGATED,2015,JUL,SWEET PEPPER,5,2.61,20.86,8
ATOK,IRRIGATED,2015,AUG,SWEET PEPPER,2.2,5,55,11
ATOK,IRRIGATED,2015,SEP,SWEET PEPPER,3,5,55,11
ATOK,IRRIGATED,2015,OCT,SWEET PEPPER,1,5,55,11
ATOK,IRRIGATED,2015,NOV,SWEET PEPPER,5,5,55,11
ATOK,IRRIGATED,2015,DEC,SWEET PEPPER,4,5,55,11
ATOK,IRRIGATED,2015,JAN,WHITE POTATO,43,320,4800,15
ATOK,IRRIGATED,2015,FEB,WHITE POTATO,95.5,123,1230,10
ATOK,IRRIGATED,2015,MAR,WHITE POTATO,82,115,1725,15
ATOK,IRRIGATED,2015,APR,WHITE POTATO,41,43,774,18
ATOK,IRRIGATED,2015,MAY,WHITE POTATO,36.29,95.5,1814.5,19
ATOK,IRRIGATED,2015,JUN,WHITE POTATO,5,82,1558,19
ATOK,IRRIGATED,2015,JUL,WHITE POTATO,5,41,697,17
ATOK,IRRIGATED,2015,AUG,WHITE POTATO,5,23,207,9
ATOK,IRRIGATED,2015,SEP,WHITE POTATO,71,5,55,11
ATOK,IRRIGATED,2015,OCT,WHITE POTATO,78,5,55,11
ATOK,IRRIGATED,2015,NOV,WHITE POTATO,28,5,55,11
ATOK,IRRIGATED,2015,DEC,WHITE POTATO,60,15,75,5
ATOK,IRRIGATED,2015,JAN,CARROTS,55,210,3150,15
ATOK,IRRIGATED,2015,FEB,CARROTS,95,98,1274,13
ATOK,IRRIGATED,2015,MAR,CARROTS,34.5,72,1080,15
ATOK,IRRIGATED,2015,APR,CARROTS,4.5,55,825,15
ATOK,IRRIGATED,2015,MAY,CARROTS,5,95,1425,15
ATOK,IRRIGATED,2015,JUN,CARROTS,5,34.5,517.5,15
ATOK,IRRIGATED,2015,JUL,CARROTS,5,4.5,58.5,13
ATOK,IRRIGATED,2015,AUG,CARROTS,5,4.5,58.5,13
ATOK,IRRIGATED,2015,SEP,CARROTS,10,5,55,11
ATOK,IRRIGATED,2015,OCT,CARROTS,35,5,55,11
ATOK,IRRIGATED,2015,NOV,CARROTS,79,5,55,11
ATOK,IRRIGATED,2015,DEC,CARROTS,60,2,20,10
ATOK,RAINFED,2015,JAN,CABBAGE,5,280,5040,18
ATOK,RAINFED,2015,FEB,CABBAGE,5,200,3400,17
ATOK,RAINFED,2015,MAR,CABBAGE,165.5,5,55,11
ATOK,RAINFED,2015,APR,CABBAGE,185.25,5,55,11
