MUNICIPALITY,FARM TYPE,YEAR,MONTH,CROP,Area planted(ha),Area harvested(ha),Production(mt),Productivity(mt/ha)
KABAYAN,IRRIGATED,2015,FEB,SWEET PEPPER,5,30,210,7
KABAYAN,IRRIGATED,2015,MAR,SWEET PEPPER,5,30,210,7
KABAYAN,IRRIGATED,2015,APR,SWEET PEPPER,6,25,175,7
KABAYAN,IRRIGATED,2015,MAY,SWEET PEPPER,10,25,175,7
KABAYAN,IRRIGATED,2015,JUN,SWEET PEPPER,8,20,140,7
KABAYAN,IRRIGATED,2015,JUL,SWEET PEPPER,6,18,126,7
KABAYAN,IRRIGATED,2015,AUG,SWEET PEPPER,8,10,70,7
KABAYAN,IRRIGATED,2015,SEP,SWEET PEPPER,5,8,48,6
KABAYAN,IRRIGATED,2015,OCT,SWEET PEPPER,5,9,54,6
KABAYAN,IRRIGATED,2015,NOV,SWEET PEPPER,3,8,48,6
KABAYAN,IRRIGATED,2015,DEC,SWEET PEPPER,2,8,48,6
KABAYAN,IRRIGATED,2015,JAN,WHITE POTATO,50,20,400,20
KABAYAN,IRRIGATED,2015,FEB,WHITE POTATO,50,25,500,20
KABAYAN,IRRIGATED,2015,MAR,WHITE POTATO,45,35,700,20
KABAYAN,IRRIGATED,2015,APR,WHITE POTATO,30,50,1000,20
KABAYAN,IRRIGATED,2015,MAY,WHITE POTATO,15,50,1000,20
KABAYAN,IRRIGATED,2015,JUN,WHITE POTATO,5,45,900,20
KABAYAN,IRRIGATED,2015,JUL,WHITE POTATO,5,30,600,20
KABAYAN,IRRIGATED,2015,AUG,WHITE POTATO,1,5,300,60
KABAYAN,IRRIGATED,2015,SEP,WHITE POTATO,5,5,100,20
KABAYAN,IRRIGATED,2015,OCT,WHITE POTATO,8,5,55,11
KABAYAN,IRRIGATED,2015,NOV,WHITE POTATO,9,5,55,11
KABAYAN,IRRIGATED,2015,DEC,WHITE POTATO,5,2,20,10
KABAYAN,IRRIGATED,2015,JAN,CARROTS,60,50,900,18
KABAYAN,IRRIGATED,2015,FEB,CARROTS,70,45,810,18
KABAYAN,IRRIGATED,2015,MAR,CARROTS,70,40,720,18
KABAYAN,IRRIGATED,2015,APR,CARROTS,60,60,1080,18
KABAYAN,IRRIGATED,2015,MAY,CARROTS,50,70,1260,18
KABAYAN,IRRIGATED,2015,JUN,CARROTS,55,70,1260,18
KABAYAN,IRRIGATED,2015,JUL,CARROTS,45,60,1080,18
KABAYAN,IRRIGATED,2015,AUG,CARROTS,50,45,810,18
KABAYAN,IRRIGATED,2015,SEP,CARROTS,30,40,600,15
KABAYAN,IRRIGATED,2015,OCT,CARROTS,15,50,750,15
KABAYAN,IRRIGATED,2015,NOV,CARROTS,12,40,520,13
KABAYAN,IRRIGATED,2015,DEC,CARROTS,15,30,450,15
KABAYAN,RAINFED,2015,JAN,CABBAGE,5,5,55,11
KABAYAN,RAINFED,2015,FEB,CABBAGE,5,5,55,11
KABAYAN,RAINFED,2015,MAR,CABBAGE,5,5,55,11
KABAYAN,RAINFED,2015,APR,CABBAGE,5,5,55,11
KABAYAN,RAINFED,2015,MAY,CABBAGE,20,5,55,11
KABAYAN,RAINFED,2015,JUN,CABBAGE,10,5,100,20
KABAYAN,RAINFED,2015,JUL,CABBAGE,12,15,300,20
KABAYAN,RAINFED,2015,AUG,CABBAGE,5,10,200,20
KABAYAN,RAINFED,2015,SEP,CABBAGE,5,10,150,15
KABAYAN,RAINFED,2015,OCT,CABBAGE,5,5,75,15
KABAYAN,RAINFED,2015,NOV,CABBAGE,5,2,30,15
KABAYAN,RAINFED,2015,DEC,CABBAGE,5,5,55,11
KABAYAN,RAINFED,2015,JAN,CHINESE CABBAGE,5,5,55,11
KABAYAN,RAINFED,2015,FEB,CHINESE CABBAGE,5,5,55,11
KABAYAN,RAINFED,2015,MAR,CHINESE CABBAGE,5,5,55,11
KABAYAN,RAINFED,2015,APR,CHINESE CABBAGE,5,5,55,11
KABAYAN,RAINFED,2015,MAY,CHINESE CABBAGE,1,5,55,11
KABAYAN,RAINFED,2015,JUN,CHINESE CABBAGE,3,5,55,11
KABAYAN,RAINFED,2015,JUL,CHINESE CABBAGE,3,1,25,25
KABAYAN,RAINFED,2015,AUG,CHINESE CABBAGE,5,4,100,25
KABAYAN,RAINFED,2015,SEP,CHINESE CABBAGE,5,4,80,20
KABAYAN,RAINFED,2015,OCT,CHINESE CABBAGE,5,5,55,11
KABAYAN,RAINFED,2015,NOV,CHINESE CABBAGE,5,5,55,11
KABAYAN,RAINFED,2015,DEC,CHINESE CABBAGE,5,5,55,11
KABAYAN,RAINFED,2015,JAN,LETTUCE,5,5,55,11
KABAYAN,RAINFED,2015,FEB,LETTUCE,5,5,55,11
KABAYAN,RAINFED,2015,MAR,LETTUCE,5,5,55,11
KABAYAN,RAINFED,2015,APR,LETTUCE,5,5,55,11
KABAYAN,RAINFED,2015,MAY,LETTUCE,1,5,55,11
KABAYAN,RAINFED,2015,JUN,LETTUCE,1,5,55,11
KABAYAN,RAINFED,2015,JUL,LETTUCE,0.8,0.5,5,10
KABAYAN,RAINFED,2015,AUG,LETTUCE,0.5,0.6,3,5
KABAYAN,RAINFED,2015,SEP,LETTUCE,5,0.5,2.5,5
KABAYAN,RAINFED,2015,OCT,LETTUCE,5,0.5,2.5,5
KABAYAN,RAINFED,2015,NOV,LETTUCE,5,5,55,11
KABAYAN,RAINFED,2015,DEC,LETTUCE,5,5,55,11
KABAYAN,RAINFED,2015,JAN,CAULIFLOWER,5,5,55,11
KABAYAN,RAINFED,2015,FEB,CAULIFLOWER,5,5,55,11
KABAYAN,RAINFED,2015,MAR,CAULIFLOWER,5,5,55,11
KABAYAN,RAINFED,2015,APR,CAULIFLOWER,6,5,55,11
KABAYAN,RAINFED,2015,MAY,CAULIFLOWER,15,5,55,11
KABAYAN,RAINFED,2015,JUN,CAULIFLOWER,13,4,60,15
KABAYAN,RAINFED,2015,JUL,CAULIFLOWER,7,17,255,15
KABAYAN,RAINFED,2015,AUG,CAULIFLOWER,5,10,150,15
KABAYAN,RAINFED,2015,SEP,CAULIFLOWER,5,10,120,12
KABAYAN,RAINFED,2015,OCT,CAULIFLOWER,5,5,55,11
KABAYAN,RAINFED,2015,NOV,CAULIFLOWER,5,5,55,11
KABAYAN,RAINFED,2015,DEC,CAULIFLOWER,5,5,55,11
KABAYAN,RAINFED,2015,JAN,BROCCOLI,5,5,55,11
KABAYAN,RAINFED,2015,FEB,BROCCOLI,5,5,55,11
KABAYAN,RAINFED,2015,MAR,BROCCOLI,5,5,55,11
KABAYAN,RAINFED,2015,APR,BROCCOLI,5,5,55,11
KABAYAN,RAINFED,2015,MAY,BROCCOLI,5,5,55,11
KABAYAN,RAINFED,2015,JUN,BROCCOLI,5,5,55,11
KABAYAN,RAINFED,2015,JUL,BROCCOLI,5,5,55,11
KABAYAN,RAINFED,2015,AUG,BROCCOLI,5,5,55,11
KABAYAN,RAINFED,2015,SEP,BROCCOLI,5,5,55,11
KABAYAN,RAINFED,2015,OCT,BROCCOLI,5,5,55,11
KABAYAN,RAINFED,2015,NOV,BROCCOLI,5,5,55,11
KABAYAN,RAINFED,2015,DEC,BROCCOLI,5,5,55,11
KABAYAN,RAINFED,2015,JAN,SNAP BEANS,5,5,55,11
KABAYAN,RAINFED,2015,FEB,SNAP BEANS,5,5,55,11
KABAYAN,RAINFED,2015,MAR,SNAP BEANS,5,5,55,11
KABAYAN,RAINFED,2015,APR,SNAP BEANS,5,5,55,11
KABAYAN,RAINFED,2015,MAY,SNAP BEANS,1,5,55,11
KABAYAN,RAINFED,2015,JUN,SNAP BEANS,1,5,55,11
KABAYAN,RAINFED,2015,JUL,SNAP BEANS,5,5,55,11
KABAYAN,RAINFED,2015,AUG,SNAP BEANS,5,1,8,8
KABAYAN,RAINFED,2015,SEP,SNAP BEANS,5,1,5,5
KABAYAN,RAINFED,2015,OCT,SNAP BEANS,5,5,55,11
KABAYAN,RAINFED,2015,NOV,SNAP BEANS,5,5,55,11
KABAYAN,RAINFED,2015,DEC,SNAP BEANS,5,5,55,11
KABAYAN,RAINFED,2015,JAN,GARDEN PEAS,5,5,55,11
KABAYAN,RAINFED,2015,FEB,GARDEN PEAS,5,5,55,11
KABAYAN,RAINFED,2015,MAR,GARDEN PEAS,5,5,55,11
KABAYAN,RAINFED,2015,APR,GARDEN PEAS,5,5,55,11
KABAYAN,RAINFED,2015,MAY,GARDEN PEAS,5,5,55,11
KABAYAN,RAINFED,2015,JUN,GARDEN PEAS,5,5,55,11
KABAYAN,RAINFED,2015,JUL,GARDEN PEAS,5,5,55,11
KABAYAN,RAINFED,2015,AUG,GARDEN PEAS,5,5,55,11
KABAYAN,RAINFED,2015,SEP,GARDEN PEAS,5,5,55,11
KABAYAN,RAINFED,2015,OCT,GARDEN PEAS,5,5,55,11
KABAYAN,RAINFED,2015,NOV,GARDEN PEAS,5,5,55,11
KABAYAN,RAINFED,2015,DEC,GARDEN PEAS,5,5,55,11
KABAYAN,RAINFED,2015,JAN,SWEET PEPPER,5,5,55,11
KABAYAN,RAINFED,2015,FEB,SWEET PEPPER,5,5,55,11
KABAYAN,RAINFED,2015,MAR,SWEET PEPPER,5,5,55,11
KABAYAN,RAINFED,2015,APR,SWEET PEPPER,5,5,55,11
KABAYAN,RAINFED,2015,MAY,SWEET PEPPER,8,5,55,11
KABAYAN,RAINFED,2015,JUN,SWEET PEPPER,12,5,55,11
KABAYAN,RAINFED,2015,JUL,SWEET PEPPER,5,5,55,11
KABAYAN,RAINFED,2015,AUG,SWEET PEPPER,5,5,35,7
KABAYAN,RAINFED,2015,SEP,SWEET PEPPER,5,10,50,5
KABAYAN,RAINFED,2015,OCT,SWEET PEPPER,5,13,65,5
KABAYAN,RAINFED,2015,NOV,SWEET PEPPER,5,5,55,11
KABAYAN,RAINFED,2015,DEC,SWEET PEPPER,5,5,55,11
KABAYAN,RAINFED,2015,JAN,WHITE POTATO,5,5,55,11
KABAYAN,RAINFED,2015,FEB,WHITE POTATO,5,5,55,11
KABAYAN,RAINFED,2015,MAR,WHITE POTATO,5,5,55,11
KABAYAN,RAINFED,2015,APR,WHITE POTATO,5,5,55,11
KABAYAN,RAINFED,2015,MAY,WHITE POTATO,5,5,55,11
KABAYAN,RAINFED,2015,JUN,WHITE POTATO,5,5,55,11
KABAYAN,RAINFED,2015,JUL,WHITE POTATO,5,5,55,11
KABAYAN,RAINFED,2015,AUG,WHITE POTATO,5,5,55,11
KABAYAN,RAINFED,2015,SEP,WHITE POTATO,5,5,55,11
KABAYAN,RAINFED,2015,OCT,WHITE POTATO,5,5,55,11
KABAYAN,RAINFED,2015,NOV,WHITE POTATO,5,5,55,11
KABAYAN,RAINFED,2015,DEC,WHITE POTATO,5,5,55,11
KABAYAN,RAINFED,2015,JAN,CARROTS,5,5,55,11
KABAYAN,RAINFED,2015,FEB,CARROTS,5,5,55,11
KABAYAN,RAINFED,2015,MAR,CARROTS,5,5,55,11
KABAYAN,RAINFED,2015,APR,CARROTS,5,5,55,11
KABAYAN,RAINFED,2015,MAY,CARROTS,5,5,55,11
KABAYAN,RAINFED,2015,JUN,CARROTS,5,5,55,11
KABAYAN,RAINFED,2015,JUL,CARROTS,5,5,55,11
KABAYAN,RAINFED,2015,AUG,CARROTS,5,5,55,11
KABAYAN,RAINFED,2015,SEP,CARROTS,5,5,55,11
KABAYAN,RAINFED,2015,OCT,CARROTS,5,5,55,11
KABAYAN,RAINFED,2015,NOV,CARROTS,5,5,55,11
KABAYAN,RAINFED,2015,DEC,CARROTS,5,5,55,11
KAPANGAN,IRRIGATED,2015,JAN,CABBAGE,0.3,0.6,7.2,12
KAPANGAN,IRRIGATED,2015,FEB,CABBAGE,0.3,0.3,3.6,12
KAPANGAN,IRRIGATED,2015,MAR,CABBAGE,5,0.3,3.6,12
KAPANGAN,IRRIGATED,2015,APR,CABBAGE,5,5,55,11
KAPANGAN,IRRIGATED,2015,MAY,CABBAGE,5,5,55,11
KAPANGAN,IRRIGATED,2015,JUN,CABBAGE,5,5,55,11
KAPANGAN,IRRIGATED,2015,JUL,CABBAGE,5,5,55,11
KAPANGAN,IRRIGATED,2015,AUG,CABBAGE,5,5,55,11
KAPANGAN,IRRIGATED,2015,SEP,CABBAGE,5,5,55,11
KAPANGAN,IRRIGATED,2015,OCT,CABBAGE,0.1,5,55,11
KAPANGAN,IRRIGATED,2015,NOV,CABBAGE,0.4,5,55,11
KAPANGAN,IRRIGATED,2015,DEC,CABBAGE,0.6,0.4,4.8,12
KAPANGAN,IRRIGATED,2015,JAN,CHINESE CABBAGE,0.1,0.45,5.4,12
KAPANGAN,IRRIGATED,2015,FEB,CHINESE CABBAGE,0.1,0.1,1.2,12
KAPANGAN,IRRIGATED,2015,MAR,CHINESE CABBAGE,0.15,0.1,1.2,12
KAPANGAN,IRRIGATED,2015,APR,CHINESE CABBAGE,0.35,0.15,1.8,12
KAPANGAN,IRRIGATED,2015,MAY,CHINESE CABBAGE,0.1,0.35,4.2,12
KAPANGAN,IRRIGATED,2015,JUN,CHINESE CABBAGE,5,0.1,1.2,12
KAPANGAN,IRRIGATED,2015,JUL,CHINESE CABBAGE,5,0.2,2.4,12
KAPANGAN,IRRIGATED,2015,AUG,CHINESE CABBAGE,5,5,55,11
KAPANGAN,IRRIGATED,2015,SEP,CHINESE CABBAGE,5,5,55,11
KAPANGAN,IRRIGATED,2015,OCT,CHINESE CABBAGE,0.1,5,55,11
KAPANGAN,IRRIGATED,2015,NOV,CHINESE CABBAGE,0.4,5,55,11
KAPANGAN,IRRIGATED,2015,DEC,CHINESE CABBAGE,0.45,0.5,6,12
KAPANGAN,IRRIGATED,2015,JAN,LETTUCE,5,0.05,0.6,12
KAPANGAN,IRRIGATED,2015,FEB,LETTUCE,5,5,55,11
KAPANGAN,IRRIGATED,2015,MAR,LETTUCE,0.1,5,55,11
KAPANGAN,IRRIGATED,2015,APR,LETTUCE,5,0.1,1.2,12
KAPANGAN,IRRIGATED,2015,MAY,LETTUCE,5,5,55,11
KAPANGAN,IRRIGATED,2015,JUN,LETTUCE,5,5,55,11
KAPANGAN,IRRIGATED,2015,JUL,LETTUCE,5,5,55,11
KAPANGAN,IRRIGATED,2015,AUG,LETTUCE,5,5,55,11
KAPANGAN,IRRIGATED,2015,SEP,LETTUCE,5,5,55,11
KAPANGAN,IRRIGATED,2015,OCT,LETTUCE,0.1,5,55,11
KAPANGAN,IRRIGATED,2015,NOV,LETTUCE,0.05,5,55,11
KAPANGAN,IRRIGATED,2015,DEC,LETTUCE,0.05,0.05,0.6,12
KAPANGAN,IRRIGATED,2015,JAN,CAULIFLOWER,0.1,5,55,11
KAPANGAN,IRRIGATED,2015,FEB,CAULIFLOWER,0.1,5,55,11
KAPANGAN,IRRIGATED,2015,MAR,CAULIFLOWER,5,0.1,1,10
KAPANGAN,IRRIGATED,2015,APR,CAULIFLOWER,5,0.1,1,10
KAPANGAN,IRRIGATED,2015,MAY,CAULIFLOWER,5,5,55,11
KAPANGAN,IRRIGATED,2015,JUN,CAULIFLOWER,5,5,55,11
KAPANGAN,IRRIGATED,2015,JUL,CAULIFLOWER,5,5,55,11
KAPANGAN,IRRIGATED,2015,AUG,CAULIFLOWER,5,5,55,11
KAPANGAN,IRRIGATED,2015,SEP,CAULIFLOWER,5,5,55,11
KAPANGAN,IRRIGATED,2015,OCT,CAULIFLOWER,0.1,5,55,11
KAPANGAN,IRRIGATED,2015,NOV,CAULIFLOWER,5,5,55,11
KAPANGAN,IRRIGATED,2015,DEC,CAULIFLOWER,0.1,5,55,11
KAPANGAN,IRRIGATED,2015,JAN,BROCCOLI,0.2,5,55,11
KAPANGAN,IRRIGATED,2015,FEB,BROCCOLI,0.1,5,55,11
KAPANGAN,IRRIGATED,2015,MAR,BROCCOLI,5,0.2,2,10
KAPANGAN,IRRIGATED,2015,APR,BROCCOLI,5,0.1,1,10
KAPANGAN,IRRIGATED,2015,MAY,BROCCOLI,5,5,55,11
KAPANGAN,IRRIGATED,2015,JUN,BROCCOLI,5,5,55,11
KAPANGAN,IRRIGATED,2015,JUL,BROCCOLI,5,5,55,11
KAPANGAN,IRRIGATED,2015,AUG,BROCCOLI,5,5,55,11
KAPANGAN,IRRIGATED,2015,SEP,BROCCOLI,5,5,55,11
KAPANGAN,IRRIGATED,2015,OCT,BROCCOLI,0.1,5,55,11
KAPANGAN,IRRIGATED,2015,NOV,BROCCOLI,0.1,5,55,11
KAPANGAN,IRRIGATED,2015,DEC,BROCCOLI,0.2,5,55,11
KAPANGAN,IRRIGATED,2015,JAN,SNAP BEANS,5,5,55,11
KAPANGAN,IRRIGATED,2015,FEB,SNAP BEANS,5,5,60,12
KAPANGAN,IRRIGATED,2015,MAR,SNAP BEANS,10,5,60,12
KAPANGAN,IRRIGATED,2015,APR,SNAP BEANS,9,10,120,12
KAPANGAN,IRRIGATED,2015,MAY,SNAP BEANS,5,9,108,12
KAPANGAN,IRRIGATED,2015,JUN,SNAP BEANS,5,5,55,11
KAPANGAN,IRRIGATED,2015,JUL,SNAP BEANS,5,5,55,11
KAPANGAN,IRRIGATED,2015,AUG,SNAP BEANS,5,5,55,11
KAPANGAN,IRRIGATED,2015,SEP,SNAP BEANS,5,5,55,11
KAPANGAN,IRRIGATED,2015,OCT,SNAP BEANS,4,5,55,11
KAPANGAN,IRRIGATED,2015,NOV,SNAP BEANS,7,5,55,11
KAPANGAN,IRRIGATED,2015,DEC,SNAP BEANS,5,5,60,12
KAPANGAN,IRRIGATED,2015,JAN,GARDEN PEAS,2,5,55,11
KAPANGAN,IRRIGATED,2015,FEB,GARDEN PEAS,1,2,20,10
KAPANGAN,IRRIGATED,2015,MAR,GARDEN PEAS,1.08,1,10,10
KAPANGAN,IRRIGATED,2015,APR,GARDEN PEAS,5,1.08,10.8,10
KAPANGAN,IRRIGATED,2015,MAY,GARDEN PEAS,5,5,55,11
KAPANGAN,IRRIGATED,2015,JUN,GARDEN PEAS,5,5,55,11
KAPANGAN,IRRIGATED,2015,JUL,GARDEN PEAS,5,5,55,11
KAPANGAN,IRRIGATED,2015,AUG,GARDEN PEAS,5,5,55,11
KAPANGAN,IRRIGATED,2015,SEP,GARDEN PEAS,5,5,55,11
KAPANGAN,IRRIGATED,2015,OCT,GARDEN PEAS,0.5,5,55,11
KAPANGAN,IRRIGATED,2015,NOV,GARDEN PEAS,1.5,5,55,11
KAPANGAN,IRRIGATED,2015,DEC,GARDEN PEAS,2,2,20,10
KAPANGAN,IRRIGATED,2015,JAN,SWEET PEPPER,20,5,55,11
KAPANGAN,IRRIGATED,2015,FEB,SWEET PEPPER,20,5,55,11
KAPANGAN,IRRIGATED,2015,MAR,SWEET PEPPER,30,5,55,11
KAPANGAN,IRRIGATED,2015,APR,SWEET PEPPER,5,20,240,12
KAPANGAN,IRRIGATED,2015,MAY,SWEET PEPPER,5,30,360,12
KAPANGAN,IRRIGATED,2015,JUN,SWEET PEPPER,5,5,55,11
KAPANGAN,IRRIGATED,2015,JUL,SWEET PEPPER,5,5,55,11
KAPANGAN,IRRIGATED,2015,AUG,SWEET PEPPER,5,5,55,11
KAPANGAN,IRRIGATED,2015,SEP,SWEET PEPPER,5,5,55,11
KAPANGAN,IRRIGATED,2015,OCT,SWEET PEPPER,7.5,5,55,11
KAPANGAN,IRRIGATED,2015,NOV,SWEET PEPPER,25,5,55,11
KAPANGAN,IRRIGATED,2015,DEC,SWEET PEPPER,20,7.5,90,12
KAPANGAN,IRRIGATED,2015,JAN,WHITE POTATO,5,5,55,11
KAPANGAN,IRRIGATED,2015,FEB,WHITE POTATO,5,5,55,11
KAPANGAN,IRRIGATED,2015,MAR,WHITE POTATO,5,5,55,11
KAPANGAN,IRRIGATED,2015,APR,WHITE POTATO,5,5,55,11
KAPANGAN,IRRIGATED,2015,MAY,WHITE POTATO,5,5,55,11
KAPANGAN,IRRIGATED,2015,JUN,WHITE POTATO,5,5,55,11
KAPANGAN,IRRIGATED,2015,JUL,WHITE POTATO,5,5,55,11
KAPANGAN,IRRIGATED,2015,AUG,WHITE POTATO,5,5,55,11
KAPANGAN,IRRIGATED,2015,SEP,WHITE POTATO,5,5,55,11
KAPANGAN,IRRIGATED,2015,OCT,WHITE POTATO,5,5,55,11
KAPANGAN,IRRIGATED,2015,NOV,WHITE POTATO,5,5,55,11
KAPANGAN,IRRIGATED,2015,DEC,WHITE POTATO,5,5,55,11
KAPANGAN,IRRIGATED,2015,JAN,CARROTS,5,5,55,11
KAPANGAN,IRRIGATED,2015,FEB,CARROTS,5,5,55,11
KAPANGAN,IRRIGATED,2015,MAR,CARROTS,5,5,55,11
KAPANGAN,IRRIGATED,2015,APR,CARROTS,5,5,55,11
KAPANGAN,IRRIGATED,2015,MAY,CARROTS,5,5,55,11
KAPANGAN,IRRIGATED,2015,JUN,CARROTS,5,5,55,11
KAPANGAN,IRRIGATED,2015,JUL,CARROTS,5,5,55,11
KAPANGAN,IRRIGATED,2015,AUG,CARROTS,5,5,55,11
KAPANGAN,IRRIGATED,2015,SEP,CARROTS,5,5,55,11
KAPANGAN,IRRIGATED,2015,OCT,CARROTS,5,5,55,11
KAPANGAN,IRRIGATED,2015,NOV,CARROTS,5,5,55,11
KAPANGAN,IRRIGATED,2015,DEC,CARROTS,5,5,55,11
KAPANGAN,RAINFED,2015,JAN,CABBAGE,5,5,55,11
KAPANGAN,RAINFED,2015,FEB,CABBAGE,5,5,55,11
KAPANGAN,RAINFED,2015,MAR,CABBAGE,5,5,55,11
KAPANGAN,RAINFED,2015,APR,CABBAGE,0.5,5,55,11
KAPANGAN,RAINFED,2015,MAY,CABBAGE,0.5,0.5,6,12
KAPANGAN,RAINFED,2015,JUN,CABBAGE,0.1,0.5,6,12
KAPANGAN,RAINFED,2015,JUL,CABBAGE,0.1,0.1,1.2,12
KAPANGAN,RAINFED,2015,AUG,CABBAGE,5,0.1,1.2,12
KAPANGAN,RAINFED,2015,SEP,CABBAGE,0.3,5,55,11
KAPANGAN,RAINFED,2015,OCT,CABBAGE,0.3,0.18,2.16,12
KAPANGAN,RAINFED,2015,NOV,CABBAGE,0.1,0.3,3.6,12
KAPANGAN,RAINFED,2015,DEC,CABBAGE,5,0.13,1.56,12
KAPANGAN,RAINFED,2015,JAN,CHINESE CABBAGE,5,0.25,3,12
KAPANGAN,RAINFED,2015,FEB,CHINESE CABBAGE,5,5,55,11
KAPANGAN,RAINFED,2015,MAR,CHINESE CABBAGE,5,5,55,11
KAPANGAN,RAINFED,2015,APR,CHINESE CABBAGE,0.3,5,55,11
KAPANGAN,RAINFED,2015,MAY,CHINESE CABBAGE,0.5,0.3,3.6,12
KAPANGAN,RAINFED,2015,JUN,CHINESE CABBAGE,0.15,0.5,6,12
KAPANGAN,RAINFED,2015,JUL,CHINESE CABBAGE,0.1,0.15,1.8,12
KAPANGAN,RAINFED,2015,AUG,CHINESE CABBAGE,0.2,0.1,1.2,12
KAPANGAN,RAINFED,2015,SEP,CHINESE CABBAGE,0.5,0.2,2.4,12
KAPANGAN,RAINFED,2015,OCT,CHINESE CABBAGE,0.3,0.18,2.16,12
KAPANGAN,RAINFED,2015,NOV,CHINESE CABBAGE,0.3,0.23,2.76,12
KAPANGAN,RAINFED,2015,DEC,CHINESE CABBAGE,5,5,55,11
KAPANGAN,RAINFED,2015,JAN,LETTUCE,5,5,55,11
KAPANGAN,RAINFED,2015,FEB,LETTUCE,5,5,55,11
KAPANGAN,RAINFED,2015,MAR,LETTUCE,5,5,55,11
KAPANGAN,RAINFED,2015,APR,LETTUCE,0.5,5,55,11
KAPANGAN,RAINFED,2015,MAY,LETTUCE,0.5,0.5,6,12
KAPANGAN,RAINFED,2015,JUN,LETTUCE,0.2,0.5,6,12
KAPANGAN,RAINFED,2015,JUL,LETTUCE,0.1,0.2,2.4,12
KAPANGAN,RAINFED,2015,AUG,LETTUCE,0.1,0.1,1.2,12
KAPANGAN,RAINFED,2015,SEP,LETTUCE,0.5,0.1,1.2,12
KAPANGAN,RAINFED,2015,OCT,LETTUCE,0.2,0.2,2.4,12
KAPANGAN,RAINFED,2015,NOV,LETTUCE,5,0.18,2.16,12
KAPANGAN,RAINFED,2015,DEC,LETTUCE,5,5,55,11
KAPANGAN,RAINFED,2015,JAN,CAULIFLOWER,5,5,55,11
KAPANGAN,RAINFED,2015,FEB,CAULIFLOWER,5,5,55,11
KAPANGAN,RAINFED,2015,MAR,CAULIFLOWER,5,5,55,11
KAPANGAN,RAINFED,2015,APR,CAULIFLOWER,0.1,5,55,11
KAPANGAN,RAINFED,2015,MAY,CAULIFLOWER,0.1,5,55,11
KAPANGAN,RAINFED,2015,JUN,CAULIFLOWER,0.1,0.1,1,10
KAPANGAN,RAINFED,2015,JUL,CAULIFLOWER,0.1,0.1,1,10
KAPANGAN,RAINFED,2015,AUG,CAULIFLOWER,0.1,0.1,1,10
KAPANGAN,RAINFED,2015,SEP,CAULIFLOWER,0.2,0.1,1,10
KAPANGAN,RAINFED,2015,OCT,CAULIFLOWER,0.2,0.06,0.6,10
KAPANGAN,RAINFED,2015,NOV,CAULIFLOWER,5,0.1,1,10
KAPANGAN,RAINFED,2015,DEC,CAULIFLOWER,5,0.3,3,10
KAPANGAN,RAINFED,2015,JAN,BROCCOLI,5,5,55,11
KAPANGAN,RAINFED,2015,FEB,BROCCOLI,5,5,55,11
KAPANGAN,RAINFED,2015,MAR,BROCCOLI,5,5,55,11
KAPANGAN,RAINFED,2015,APR,BROCCOLI,0.2,5,55,11
KAPANGAN,RAINFED,2015,MAY,BROCCOLI,0.3,5,55,11
KAPANGAN,RAINFED,2015,JUN,BROCCOLI,5,5,55,11
KAPANGAN,RAINFED,2015,JUL,BROCCOLI,0.2,0.15,1.5,10
KAPANGAN,RAINFED,2015,AUG,BROCCOLI,0.2,0.15,1.5,10
KAPANGAN,RAINFED,2015,SEP,BROCCOLI,0.5,0.2,2,10
KAPANGAN,RAINFED,2015,OCT,BROCCOLI,0.42,0.2,2,10
KAPANGAN,RAINFED,2015,NOV,BROCCOLI,5,0.3,3,10
KAPANGAN,RAINFED,2015,DEC,BROCCOLI,5,0.7,7,10
KAPANGAN,RAINFED,2015,JAN,SNAP BEANS,5,5,55,11
KAPANGAN,RAINFED,2015,FEB,SNAP BEANS,5,5,55,11
KAPANGAN,RAINFED,2015,MAR,SNAP BEANS,5,5,55,11
KAPANGAN,RAINFED,2015,APR,SNAP BEANS,20,5,55,11
KAPANGAN,RAINFED,2015,MAY,SNAP BEANS,20,20,240,12
KAPANGAN,RAINFED,2015,JUN,SNAP BEANS,10,20,240,12
KAPANGAN,RAINFED,2015,JUL,SNAP BEANS,10,10,120,12
KAPANGAN,RAINFED,2015,AUG,SNAP BEANS,13,10,120,12
KAPANGAN,RAINFED,2015,SEP,SNAP BEANS,20,13,156,12
KAPANGAN,RAINFED,2015,OCT,SNAP BEANS,9,12,144,12
KAPANGAN,RAINFED,2015,NOV,SNAP BEANS,5,7.8,93.6,12
KAPANGAN,RAINFED,2015,DEC,SNAP BEANS,5,5,55,11
KAPANGAN,RAINFED,2015,JAN,GARDEN PEAS,5,5,55,11
KAPANGAN,RAINFED,2015,FEB,GARDEN PEAS,5,5,55,11
KAPANGAN,RAINFED,2015,MAR,GARDEN PEAS,5,5,55,11
KAPANGAN,RAINFED,2015,APR,GARDEN PEAS,3,5,55,11
KAPANGAN,RAINFED,2015,MAY,GARDEN PEAS,2,3,30,10
KAPANGAN,RAINFED,2015,JUN,GARDEN PEAS,1,2,20,10
KAPANGAN,RAINFED,2015,JUL,GARDEN PEAS,1,1,10,10
KAPANGAN,RAINFED,2015,AUG,GARDEN PEAS,0.5,1,10,10
KAPANGAN,RAINFED,2015,SEP,GARDEN PEAS,0.5,0.5,5,10
